Client,Event,Statut,Date confirmée
Cross Selling,1o1 with Matthieu H.: Meeting — EDRAM,Confirmé,2026-01-29
Candriam Belgium SA,1o1 with Matthieu H.: Call — Candriam — 2026-02-02,Confirmé,2026-02-02
Cross Selling,1o1 with Matthieu H.: Lunch — KC / Cross Selling,Confirmé,2026-02-11
Mandarine Gestion,1o1 with Matthieu H.: Meeting — Mandarine,Confirmé,2026-03-02
Candriam Belgium SA,1o1 with Matthieu H.: Call — Candriam — 2026-03-02,Confirmé,2026-03-02
Candriam Belgium SA,1o1 with Matthieu H.: Call — Candriam — 2026-03-19,Confirmé,2026-03-19
Sycomore Asset Management,1o1 with Matthieu H.: Travel — Sycomore,Confirmé,2026-03-25
Athymis Gestion,1o1 with Matthieu H.: Lunch — Athymis,Confirmé,2026-04-03
CREDIT MUTUEL ASSET MANAGEMENT,1o1 with Matthieu H.: Call — Crédit Mutuel AM,Confirmé,2026-04-15
Fideuram - Intesa Sanpaolo Private Banking S.p.A.,1o1 with Matthieu H.: Meeting — Fideuram,Confirmé,2026-05-18
Eurizon Capital SGR,1o1 with Matthieu H.: Meeting — Eurizon — MH-26,Confirmé,
Algebris,1o1 with Matthieu H.: Meeting — Algebris,Confirmé,
Eurizon Capital SGR,1o1 with Matthieu H.: Meeting — Eurizon — MH-28,Confirmé,
Eurizon Capital SGR,1o1 with Matthieu H.: Meeting — Eurizon — MH-29,Confirmé,
Eurizon Capital SGR,1o1 with Matthieu H.: Meeting — Eurizon — MH-30,Confirmé,
Acomea,1o1 with Matthieu H.: Meeting — AcomeA,Confirmé,
Sycomore Asset Management,1o1 with Matthieu H.: Lunch — Sycomore,Confirmé,2026-05-02
Cross Selling,1o1 with Matthieu H.: Lunch — EPSA,Confirmé,2026-05-03
Cross Selling,1o1 with Matthieu H.: Diner — ECB,Confirmé,2026-05-05
Cross Selling,1o1 with Matthieu H.: Lunch — EDRAM,Confirmé,2026-06-16
